"plant","parameter","original_value","optimized_value","is_optimized"
"Wheat_Eric_plt.xml","vitirazo","0.01842","0.0166199275683612",TRUE
"xml_6_Wheat_Eric_plt.xml","stlevamf","385","400",TRUE
"xml_6_Wheat_Eric_plt.xml","stlevdrp","965","929.041446755374",TRUE
"xml_6_Wheat_Eric_plt.xml","stamflax","535","478.596913122705",TRUE
"xml_6_Wheat_Eric_plt.xml","stdrpmat","555","490.99826839686",TRUE
"xml_6_Wheat_Eric_plt.xml","stdrpdes","500","569.475226287198",TRUE
"xml_6_Wheat_Eric_plt.xml","dlaimaxbrut","0.0003064","0.00031407392038342",TRUE
"xml_6_Wheat_Eric_plt.xml","vlaimax","2.2","2.49088875294135",TRUE
"xml_6_Wheat_Eric_plt.xml","pentlaimax","5","1.33812567869519",TRUE
"xml_6_Wheat_Eric_plt.xml","durvieF","155","132.696498671014",TRUE
"xml_6_Wheat_Eric_plt.xml","extin","0.5","0.957594718172082",TRUE
"xml_6_Wheat_Eric_plt.xml","fixmaxveg","30","30",FALSE
"xml_6_Wheat_Eric_plt.xml","fixmaxgr","9.5","9.5",FALSE
"xml_6_Wheat_Eric_plt.xml","Vmax2","0.0205","0.004",TRUE
"xml_6_Wheat_Eric_plt.xml","inngrain2","1.18","1.4969564933862",TRUE
"xml_6_Wheat_Eric_plt.xml","innturgmin","0.28","1",TRUE
"xml_6_Wheat_Eric_plt.xml","innsen","0.151","0.339904641289085",TRUE
"xml_6_Wheat_Eric_plt.xml","rsmin","137","157.935638049089",TRUE
"xml_6_Wheat_Eric_plt.xml","efcroijuv","2.05","1",TRUE
"xml_6_Wheat_Eric_plt.xml","efcroiveg","3.24","4.5",TRUE
"xml_6_Wheat_Eric_plt.xml","efcroirepro","2.37","4.5",TRUE
"xml_6_Wheat_Eric_plt.xml","cgrain","0.01928","0.138116003309842",TRUE
"xml_6_Wheat_Eric_plt.xml","nbgrmin","2881","1540.42755463826",TRUE
"xml_6_Wheat_Eric_plt.xml","vitircarbT","0.000792","0.00100862719330796",TRUE
"xml_6_Wheat_Eric_plt.xml","vitirazo","0.01842","0.0296475154589862",TRUE
"Plant_FabaBean_plt.xml","stlevamf","483","483",FALSE
"Plant_FabaBean_plt.xml","stlevdrp","1180","1180",FALSE
"Plant_FabaBean_plt.xml","stamflax","480","480",FALSE
"Plant_FabaBean_plt.xml","stdrpmat","261","261",FALSE
"Plant_FabaBean_plt.xml","stdrpdes","300","300",FALSE
"Plant_FabaBean_plt.xml","dlaimaxbrut","0.0017","0.00182043539288546",TRUE
