"plant","parameter","original_value","optimized_value","is_optimized"
"sunflowerPrecoceAsso_plt.xml","stamflax","490","541.096913122705",TRUE
"sunflowerPrecoceAsso_plt.xml","stdrpmat","650","541",TRUE
"sunflowerPrecoceAsso_plt.xml","stdrpdes","400","400",FALSE
"sunflowerPrecoceAsso_plt.xml","dlaimaxbrut","0.0012","0.00134705191107224",TRUE
"sunflowerPrecoceAsso_plt.xml","vlaimax","1.5","1.73681358927745",TRUE
"sunflowerPrecoceAsso_plt.xml","pentlaimax","3.5","1",TRUE
"sunflowerPrecoceAsso_plt.xml","durvieF","300","279.473842421014",TRUE
"sunflowerPrecoceAsso_plt.xml","ktrou","1.2","1.22414055258161",TRUE
"sunflowerPrecoceAsso_plt.xml","rapforme","3","2",TRUE
"sunflowerPrecoceAsso_plt.xml","fixmaxveg","30","30",FALSE
"sunflowerPrecoceAsso_plt.xml","fixmaxgr","9.5","9.5",FALSE
"sunflowerPrecoceAsso_plt.xml","Vmax2","0.018","0.018",FALSE
"sunflowerPrecoceAsso_plt.xml","inngrain2","1","1",FALSE
"sunflowerPrecoceAsso_plt.xml","innturgmin","-0.75","0.535141205320492",TRUE
"sunflowerPrecoceAsso_plt.xml","innsen","0.3","0.304672698392577",TRUE
"sunflowerPrecoceAsso_plt.xml","rsmin","150","184.318165793363",TRUE
"sunflowerPrecoceAsso_plt.xml","efcroijuv","3.3","1.49139046937016",TRUE
"sunflowerPrecoceAsso_plt.xml","efcroiveg","3.9","4.04034166639094",TRUE
"sunflowerPrecoceAsso_plt.xml","efcroirepro","2.4","1.69478028610777",TRUE
"sunflowerPrecoceAsso_plt.xml","cgrain","0.037","0.037",FALSE
"sunflowerPrecoceAsso_plt.xml","nbgrmin","1500","1500",FALSE
"sunflowerPrecoceAsso_plt.xml","vitircarbT","0.00041","5e-04",TRUE
"sunflowerPrecoceAsso_plt.xml","vitirazo","0.02","0.02",FALSE
